"";"distance";"moving_time";"start_date";"gear_id";"type"
"295";101;2400;2019-12-18 15:40:56;NA;"IceSkate"
"296";12;3900;2019-12-17 19:13:40;NA;"IceSkate"
"297";12;4500;2019-12-15 09:11:38;NA;"IceSkate"
"298";10;2700;2019-12-12 15:45:45;NA;"IceSkate"
"299";8917;1360;2019-12-11 18:40:25;"b2992308";"VirtualRide"
"300";9;4200;2019-12-10 19:27:12;NA;"IceSkate"
"301";245865;3260;2019-12-08 18:25:10;"b2992308";"VirtualRide"
"302";457045;8091;2019-12-07 12:12:07;"b5957471";"Ride"
"303";297629;5813;2019-12-01 09:18:30;"b5957471";"Ride"
"304";293166;3872;2019-11-30 12:15:14;"b2992308";"Ride"
"305";205785;2298;2019-11-29 18:12:03;"b2992308";"VirtualRide"
"306";7;3000;2019-11-28 15:15:40;NA;"IceSkate"
"307";92;4200;2019-11-26 19:08:32;NA;"IceSkate"
"308";35692;7601;2019-11-23 09:14:00;"b5957471";"Ride"
"309";385319;6117;2019-11-22 11:57:50;"b5957471";"Ride"
"310";193;2381;2019-11-20 18:28:24;"b2992308";"VirtualRide"
"311";8;4200;2019-11-19 19:16:37;NA;"IceSkate"
"312";290074;5024;2019-11-16 12:53:36;"b5957471";"Ride"
"313";8;3000;2019-11-14 15:28:15;NA;"IceSkate"
"314";7;4200;2019-11-12 19:05:03;NA;"IceSkate"
"315";414933;6842;2019-11-10 12:17:54;"b5957471";"Ride"
"316";320894;5388;2019-11-09 12:24:42;"b5957471";"Ride"
"317";7;3600;2019-11-07 15:37:37;NA;"IceSkate"
"318";13722;1798;2019-11-06 19:25:11;"b2992308";"VirtualRide"
"319";7;3900;2019-11-05 19:23:01;NA;"IceSkate"
"320";247149;5181;2019-11-03 08:29:35;"b5957471";"Ride"
"321";21511;2422;2019-11-01 15:01:45;"b2992308";"VirtualRide"
"322";9;4200;2019-10-29 19:20:57;NA;"IceSkate"
"323";791734;11591;2019-10-26 09:50:31;"b2992308";"Ride"
"324";214986;2218;2019-10-24 17:57:20;"b2992308";"VirtualRide"
"325";35;3900;2019-10-22 18:08:51;NA;"IceSkate"
"326";216152;2948;2019-10-20 11:26:07;"b2992308";"VirtualRide"
"327";200525;4317;2019-10-18 15:00:49;"b5957471";"Ride"
"328";429523;9116;2019-10-17 12:53:18;"b5957471";"Ride"
"329";280901;5193;2019-10-16 12:49:43;"b5957471";"Ride"
"330";828684;11718;2019-10-14 08:41:04;"b2992308";"Ride"
"331";665405;10144;2019-10-13 08:34:15;"b5957471";"Ride"
"332";14543;1799;2019-10-11 14:11:18;"b2992308";"VirtualRide"
"333";21279;2454;2019-10-09 18:23:37;"b2992308";"VirtualRide"
"334";19533;2531;2019-10-08 18:14:18;"b2992308";"VirtualRide"
"335";565896;8069;2019-10-05 07:52:14;"b5957471";"Ride"
"336";14011;1793;2019-10-03 17:59:05;"b2992308";"VirtualRide"
"337";173789;2707;2019-10-02 17:58:20;"b2992308";"VirtualRide"
"338";178187;2263;2019-09-29 08:29:31;"b2992308";"VirtualRide"
"339";406342;7256;2019-09-27 11:15:15;"b5957471";"Ride"
"340";177812;2304;2019-09-24 17:36:48;"b2992308";"VirtualRide"
"341";700507;8835;2019-09-22 12:13:15;"b2992308";"Ride"
"342";255468;3902;2019-09-20 16:44:59;"b5957471";"Ride"
"343";692;1016;2019-09-15 12:46:33;"b2992308";"Ride"
"344";10227;14337;2019-09-15 08:32:27;"b2992308";"Ride"
"345";207915;2409;2019-09-13 12:23:41;"b2992308";"VirtualRide"
"346";11396;1809;2019-09-11 18:20:10;"b2992308";"VirtualRide"
"347";170008;2053;2019-09-10 18:30:49;"b2992308";"VirtualRide"
"348";438642;7765;2019-09-08 08:45:29;"b5957471";"Ride"
"349";563755;7483;2019-09-06 11:21:50;"b2992308";"Ride"
"350";170913;1938;2019-09-03 18:15:50;"b2992308";"VirtualRide"
"351";498505;7685;2019-09-01 07:15:53;"b2992308";"Ride"
"352";133552;20936;2019-08-31 06:36:32;"b2992308";"Ride"
"353";78301;10935;2019-08-30 12:41:38;"b2992308";"Ride"
"354";259726;3198;2019-08-27 13:25:52;"b2992308";"Ride"
"355";85893;9900;2019-08-24 12:15:05;NA;"Hike"
"356";106208;21328;2019-08-23 07:28:19;"b2992308";"Ride"
"357";567475;11675;2019-08-22 11:06:45;"b2992308";"Ride"
